Date,ABBIGERE,AGARA,AKSHAYANAGARA,ALLALASANDRA
05-12-2010,3051,776,2956,2525
06-12-2010,3022,802,3050,2616
07-12-2010,3002,881,3158,2838
08-12-2010,3018,881,3131,2892
09-12-2010,3018,881,3131,2855
10-12-2010,3025,881,3150,2855
11-12-2010,3038,881,3150,2862
12-12-2010,3035,881,3150,2857
13-12-2010,3054,881,3158,2889
14-12-2010,3098,881,3160,2895
15-12-2010,3135,881,3163,2908
16-12-2010,3231,881,3163,2921
17-12-2010,3231,881,3182,2960
18-12-2010,3231,881,3184,2986
19-12-2010,3231,881,3187,2986
20-12-2010,3231,881,3192,2991
21-12-2010,3231,881,3195,2999
22-12-2010,3231,881,3195,2999
23-12-2010,3231,878,3192,2999
24-12-2010,3231,872,3190,2999
25-12-2010,3231,861,3190,3043
26-12-2010,3231,846,3190,3070
27-12-2010,3231,828,3190,3115
28-12-2010,3231,825,3192,3120
29-12-2010,3231,823,3203,3123
30-12-2010,3231,820,3214,3130
31-12-2010,3231,818,3225,3130
01-01-2011,3231,816,3235,3130
02-01-2011,3231,814,3243,3130
03-01-2011,3231,814,3254,3149
04-01-2011,3231,819,3284,3149
05-01-2011,3231,822,3300,3149
06-01-2011,3231,825,3286,3156
07-01-2011,3231,828,3273,3161
08-01-2011,3231,832,3259,3164
09-01-2011,3231,837,3254,3164
10-01-2011,3231,847,3251,3172
11-01-2011,3231,865,3246,3177
12-01-2011,3231,881,3241,3184
13-01-2011,3231,881,3241,3189
14-01-2011,3231,881,3259,3197
15-01-2011,3231,881,3259,3197
16-01-2011,3231,881,3259,3197
17-01-2011,3231,881,3259,3197
18-01-2011,3231,881,3259,3192
19-01-2011,3231,881,3259,3189
20-01-2011,3231,881,3259,3184
21-01-2011,3231,881,3259,3179
22-01-2011,3231,881,3259,3168
23-01-2011,3231,881,3259,3166
24-01-2011,3231,881,3259,3161
25-01-2011,3231,881,3259,3156
26-01-2011,3231,879,3259,3151
27-01-2011,3231,877,3259,3146
28-01-2011,3231,866,3259,3136
29-01-2011,3213,855,3259,3125
30-01-2011,3186,843,3259,3110
31-01-2011,3135,843,3259,3094
01-02-2011,3108,840,3254,3080
02-02-2011,3081,837,3249,3066
03-02-2011,3054,834,3243,3053
04-02-2011,3028,831,3238,3040
05-02-2011,3009,828,3230,3028
06-02-2011,2986,825,3222,3007
07-02-2011,2966,822,3214,2994
08-02-2011,2950,819,3206,2981
09-02-2011,2934,816,3198,2968
10-02-2011,2921,813,3187,2955
11-02-2011,2902,810,3176,2942
12-02-2011,2889,807,3166,2929
13-02-2011,2873,804,3155,2916
14-02-2011,2858,801,3144,2903
15-02-2011,2845,798,3133,2889
16-02-2011,2829,795,3123,2875
17-02-2011,2814,792,3112,2861
18-02-2011,2801,789,3100,2847
19-02-2011,2786,786,3088,2833
20-02-2011,2773,782,3076,2819
21-02-2011,2758,779,3066,2805
22-02-2011,2770,776,3066,2805
23-02-2011,2779,778,3100,2805
24-02-2011,2786,782,3128,2797
25-02-2011,2776,782,3136,2784
26-02-2011,2764,779,3128,2770
27-02-2011,2752,776,3120,2755
28-02-2011,2739,773,3112,2740
01-03-2011,2733,770,3106,2725
02-03-2011,2724,767,3100,2709
03-03-2011,2718,764,3092,2693
04-03-2011,2712,761,3086,2677
05-03-2011,2706,758,3080,2661
06-03-2011,2700,755,3074,2645
07-03-2011,2693,752,3068,2628
08-03-2011,2687,749,3062,2612
09-03-2011,2681,746,3052,2596
10-03-2011,2675,743,3042,2579
11-03-2011,2669,740,3030,2564
12-03-2011,2660,737,3018,2547
13-03-2011,2651,734,3006,2530
14-03-2011,2642,731,2994,2513
15-03-2011,2633,728,2982,2496
16-03-2011,2624,725,2970,2479
17-03-2011,2618,722,2958,2462
18-03-2011,2612,719,2946,2445
19-03-2011,2606,716,2932,2429
20-03-2011,2600,713,2916,2412
21-03-2011,2595,710,2896,2396
